 处理、解决, 影响, 繁荣, 强调, 斥责, 创新, 推迟, 吸引, 谋生, 授予, 需要, 奇怪, 扩大, 作为（起…作用）, 忽视, 重要的, 认为," 导致, 所以", 有益的, 保存，保护, 方式、方法, 迫使、强迫, 表明, 依赖/依靠、取决于, 收入, 下降, 上升, 激发、鼓励, 阻止, 关注、重视, 购买, 禁止, 培养, 欺骗, 讽刺, 公正的, 足够的，充足的, 困难，障碍, 致力于, 允许某人做某事, 乏味的, 一直, 公司, 参加, 富裕的, 贫穷的, 人类, 责任, 相似的, 最初的，开始的, 因为,错误，缺点, 使迷惑/困惑, 责备/谴责, 避开/避免, 赞扬, 抱怨, 忠诚,直率,使用/利用, 有活力的, 确保, 泄气而不做, 危及, 消失, 而不是, 源自/因为, 环境, 阻碍, 固有的/内在的 , 抛弃, 普遍的, 欺骗, 贿赂, 数据, 担忧, 有害的/不利的, 共同的, 许多, 向...学习/借鉴, 易受伤害的/易受...的影响, 受到...批评, 支付, 同化, 不遵守某人的誓言, 谦虚的,财产,精确,创新,认为合理,推理,大众文化,文化力,愤怒,地位,偏见,谨慎
deal with,affect,prosper,stress,criticize,creative,put off,attract,earn one’s living,grant,need,strange,widen,serve as,ignore,important,think,cause,useful,protect,way,force,show,dependon,income,reduce,increase,encourage,stop,focus on,buy,ban,develop,fraud,satire,just,adequate,difficulty,be devoted to,allow sb to do sth,boring,always,firm,takepartin,rich,poor,human beings,responsibility,same,initial,because,problem,puzzle,blame,avoid,praise,complain,loyalty,frank,use,energetic,makesure,be demotivated to,threaten,disappear,rather than,originate from,context,hinder,inherent,abandon,common,fraud,bribe,data,worry,bad,shared,a lot of,learn from,be susceptible to,be criticized for,pay for,homogenize,break one's promise,modest,property,precision,thinking ability,think proper,reasoning,popular culture,cultural power,rage,status,bias,prudent
cope with,influence,thrive,highlight,scold,innovative,phase back,tempt,make one’s living,award,require,odd,broaden,function as,neglect,significant,hold,lead to,helpful,save,manner,compel,illustrate,rely on,wage,lower,jump,urge,prevent,concentrate on,purchase,prohibit,cultivate,deceit,sarcasm,fair,enough,obstacle,be committed to,give sb permission to do sth,dull,continually,company,joinin,wealthy,needy,human race,obligation,similar,original,because of,fail to,perplex,condemn,escape,compliment,moan,allegiance,straightup,utilize,dynamic,assure,discourage from doing,endanger,vanish,instead of,stem from,environment,hamper,intrinsic,discard,universal,deceit,corrupt,figure,concern,evil,common,a deal of,take a page from,be vulnerable to,be under fire for,cover,assimilate,dishonor one's promise ,unpretentious,real estate,accuracy,critical thinking,logical thinking,logical thought,common culture,assimilating power,outrage,rank,prejudice,cautious
handle,impact,flourish,spotlight,rebuke,thinkability,delay,appeal,live off,,demand,bizarre,enlarge,,overlook,crucial,view,result in,beneficial,conserve,fashion,,demonstrate,count on,salary,down,rise,motivate,cease,pay attention to,spend money,forbid,foster,deceive,sarcastic,fairplay,sufficient,barrier,,,tiresome,continuously,corporation,participatein,affluent,impoverished,human species,duty,resemble,primary,as a result of,flaw,confuse,denounce,shun,speak highly of,grumble,fidelity,,employ,vigorous,ensure,,jeopardize,,,arise from,surroundings,handicap,innate,forsake,general,deceive,,statistics,anxiety,vicious,joint,a host of,,,,,,,,estate,,creative,,thought,,,grievance,,discrimination,discreet
tackle,effect,boom,emphasize,,critical thinking,suspend,fascinate,,,ask,weird,extend,,,critical,believe,conduce to,favorable,preserve,approach,,indicate,rest on,earnings,dip,raise,prompt,put an end to,put emphasis on,,,,,irony,integrity,ample,challenge,,,tedious,constantly,business,attend,well-to-do,poverty-stricken,mankind,liability,like,first,thanks to,fault,bewilder,deplore,,,find fault with,,,exploit,vibrant,insure,,imperil,,,derive from,circumstance,obstruct,inborn,desert,widespread,cheat,,,gloomy,baneful,collective,an ocean of,,,,,,,,asset,,innovation,,,,,indignation,,inequality,scrupulous
resolve,,bloom,underline,,critical mind,postpone,,,,take,peculiar,expand,,,vital,maintain,contribute to,advantageous,retain,tactic,,,lean on,revenue,drop,goup,stimulate,hold back,keep a watchful eye on,,,,,ironic,unbiased,plentiful,,,,,allthetime,organization,,well-off,,man,hold accountable for,alike,,owing to,defect,baffle,,,,,,,make use of,animated,guarantee,,threaten to,,,result from,,,,,ubiquitous,,,,,harmful,collaborative,a sea of,,,,,,,,,,,,,,,,,,wary
solve,,blossom,,,,,,,,request,,stretch,,,essential,argue,bring about,rewarding,,means,,,reckon on,,decrease,accelerate,spur,preclude,attach importance to,,,,,,disinterested,,,,,,aroundtheclock,enterprise,,well-healed,,,,,,due to,weakness,,,,,,,,take advantage of,lively,assuresb.ofsth.,,,,,come from,,,,,pervasive,,,,,detrimental,,an army of,,,,,,,,,,,,,,,,,,alert
address,,prosperous,,,,,,,,,,,,,necessary,assume,spark off,profitable,,channel,,,,,decline,ascent,inspire,refrain,take into account,,,,,,impartial,,,,,,,,,,,,,,,in that,drawback,,,,,,,,,,,,,,,,,,,,,,,,,adverse,,a multitude of,,,,,,,,,,,,,,,,,,
dispose,,,,,,,,,,,,,,,indispensable,assert,induce,,,,,,,,descend,boost,activate,deter,take account of,,,,,,objective,,,,,,,,,,,,,,,attribute to,disadvantage,,,,,,,,,,,,,,,,,,,,,,,,,disadvantageous,,a great many,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,key,insist,produce,,,,,,,,diminish,augment,fuel,hinder,give priority to,,,,,,,,,,,,,,,,,,,,,be inspired by,shortcoming,,,,,,,,,,,,,,,,,,,,,,,,,against,,a large amount of,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,deem,generate,,,,,,,,lessen,mount,impel,,place great value on,,,,,,,,,,,,,,,,,,,,,be encouraged by,demerit,,,,,,,,,,,,,,,,,,,,,,,,,,,numerous,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,be convinced,trigger,,,,,,,,cutdown,add,propel,,,,,,,,,,,,,,,,,,,,,,,be spurred by,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,therefore,,,,,,,,fall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,hence,,,,,,,,slump,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,thus,,,,,,,,plummet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,consequence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
