发明创造（的），（从无到有地）生产,感知，感觉,受到影响；取决于，依靠,分开，分离,城市，城镇,相似，类似,相等，等同,整合，组织，合作,招致，指使,分类,区别，不同,特征,应用，运用,(观念想法)上的一致；无争议,"(观点)冲突的,(观点)存疑的;矛盾",改变，转变，调整,稳定，固定,支持；支撑；加强,规则，政策标准,起源，源于,相关，与之关联,完好无损，未遭受损坏的,准确，精确,交换，替换,重要的，必要的，迫切的,增长，增加，上升,升至顶峰，到达顶点,减少，下降,减弱，小王，降至最低点,出现，存在,不平衡，倾斜,疾病，灾祸,阻止，停止,破坏，损害,移除，去除,缺乏，确实啊，物质或自建的匮乏,罕见，特别，特殊,复杂，难理解，困扰,避免，躲过,困难，困境,估测，估计,误解，偏见,附近，周遭环境,人工的，人造的,模仿，仿照,计算，算出,执行，实施,同时的，同时发生的,容易，放松,趋势，趋向,初始的；原始的,家庭的，民用的,旋转，转动,检查，审查,假的，骗局,恶化，变糟糕,意外的，未预料到的,强迫，迫使,精心的，认真考虑的，蓄意的,乏味枯燥的，陈旧的,控制，操纵,方法，方式,达成，完成，成就，成功,保留；残骸，遗留物,相互的；彼此共同的,缺点，漏洞,改变方向,令人不快的，排斥的,处理，应对,放弃，弃用,知名，著名,传播，散布,延伸，延展,立即，即可出现的,不愿意，不情愿,查找，找寻,简短明了，简洁,新颖的，创新的,开始，开展,实用的，有效的,储存，贮存,危险的，致命的，致死的,普通的，常见的,超越，超过,充足，足够,研究，钻研,确定的，确保,提速，加速
invent,sense,affect,divide,civil,similar,identical,organize,lead to,categorize,different,feature,use,consistent with,conflict,change,stable,support,rule,grow from,relate to ,intact,exact,exchange,important,increase,peak,reduce,disappear,exist,imbalance,havoc,stop,damage,delete,deprive,rare,complex,avoid,difficult,guess,misunderstanding,environment,artificial,mimic,measure,perform,contemporary,easy for,tendency,initial,domestic,rotate,inspection,fake,degrade,unexpected,force,carefully,dull,control,way,success,remain,joint,disadvantage,reroute,unpleasant,deal with,abandon,famous,spread,extent to,instant,unwilling,detect,simple,new,start,practical,store,danger,ordinary,win,abundant,look at,guarantee,boost
coin,perceive,impact,split,urban,alike,the same,regulate,contribute to,classify,differing,characteristic,harness,according to,mixed views,alter,fixed,exemplify,regulation,come from,involve with,unscathed,precise,alter,significant,rise,summit,decrease,vanish,appearance,lopsidedness,disaster,halt,tamper,remove,lack,unusual,perplex,duck,tough,estimate,misrepresented,surrounding,synthetic,copy,calculate,conduct,coeval,readily,trend,preliminaty,home,turn,supervise,disguise,deteriorate,unpredictable,compel,slowly,banal,manipulate,approach,achievement,retain,together,unsatisfactory point,re-orientate,offensive,handle,dismiss,fame,scatter,stretch,rapid,refuse,single out,easy,fresh,launch,pragmatic,stock,dangerous,universal,exceed,sufficient,look into,make sure,speed up
devise,preconceive,influence,separate,city,resemble,equal to,arrange,result in,rank,vary,trait,avail,agree with,contradict,shift,strengthened,brace,specification,origin from,link to,undamaged,right,convert,supreme,raise,highest point,decline,decline,introduction,disorder,cataclysm,cancel,break,extract,shortage,unique,elaborated,cop-out,economic depression,speculate,misinterpreted,atmosphere,manmade,imitate,work out,practice,co-exist,handy,inclination,rudimentary,residential,spin,investigate,deceive,exacerbate,unforeseen,compulsory,patient,rigid,operate,method,manage to,ruin,interact,drawback,diversion,upsetting,address,derelict,pretige,distribute,swell,promptly,reluctant,search,trim,radical,commence,feasible,place,risk,common,supersede,enough,analyze,ensure,accelerate
first use,aware,interfere,break,municipal,comparable,equivalent to,in line,prompt,designate,various,machanism,take advantage of,harmony,disagreed,revise,reinforce,bear,standard,original,accompany with,untouched,accurate,switch,supremacy,accumulating,heyday,fall,evaporate,advent,bias,plague,prevent,wound,clean,deficient,uncommon,complicated,opt out of,hard,assess,bias,around,unnatural,mirroring,figure out,carry out,coincide with,convenient,disposition,primitive,inhabitable,swirl,monitor,deceptive,worsen,striking,bombard,meticulously,boring,maneuver,mean,ready-made,fossil,mutual,downside,divert,disagreeable,target,give up,acclaim,disperse,enlarge,immediately,hesitant,seek,concise,innovative,begin,attainable,deposit,detrimental,usual,outperform,a great deal of,study,keep,facilitate
formulate,realize,depend on,discrete,capital,uniform,,in row,embark,differentiate,distinctive,,utilize,concur,debated,transform,determined,backup,criteria,derive from,associate with,untapped,fact,shift,vital,grow,top,lessen,demise,emerge,incline,disease,thwart,destroy,purify,insufficient,extraodinary,intricate,dodge,harsh,evaluate,discriminated,nearby,cultivate,duplicate,calibrate,operate,synchronous,ease with,willingness,fundamental,family,roll,surveilance,hoax,,erratic,coerce,scrupulously,tedious,monopoly,,work out,relic,reciprocal,defect,turning point,disgusting,solve,cancel,commendation,disseminate,prolong,fast,hesitate,look for,explicit,revolutionary,promt,achievable,house,jeopardized,worldwide,override,considerable,examine,confirm,improve
create,conscious of,determined by,isolated,metropolitan,as…as…,,coordinate,start,distinguish,shade,,apply,consensus,doubtful,transfer,static,uphold,law,evolve,correlate with,not-destroyed,correct,swap,crucial,ascend,culminate in,minimize,lowest point,,unstable,famine,impede,disrupt,wipe out,scarce,special,intractable,shun,demanding,rank,lopsided,neighboring,,replicate,fathom,implement,meanwhile,liable to,intend to,amateur,,twist,verify,misleading,,surprised,pressure,elaborated,outdated,curb,,complete,wreck,corporate,defective,,,overcome,quit,status,broadcast,elongate,instantaneous,disinclined,find,compact,advanced,initiate,utilitarian,trap,lethal,ubiquitous,transcend,a large number of,research,conclusive,promote
creative,register,rely on,detach,town,analogy,,set out,pose,taxonomy,nuance,,subject to,undisputed,controversial,fine-tune,fastened,proponent,principle,develop from,respond to,excellent condition,reliable,interchange,imperative,escalate,apex,drop,nadir,,,tragedy,block,compromise,eliminate,absence,particular,convoluted,prevent,dilemma,rate,wrong picture,vicinity,,reproduce,count,administer,at the same time,,tend to,elementary,,wheel,verification,gull,,random,pressing,in details,old-fashioned,,,fulfill,bones,,shortage,,,cope with,forsake,celebrity,propagate,,,reject,scan for,short,cutting-edged,embark,,reservoir,deadly,,beat,adequate,dig into,die case,stimulate
form,regard,draw on,fork away,resident,,,administer,,,subtlety,,exploit,fit with,incompatible,convert,unchanged,strengthen,stipulate,,connect to,pristine,dependable,share,urgent,boost,,descend,fade,,,illness,hinder,jeopardize,strip out,little,,elusive,ignore,challenge,anticipate,unreal picture,,,parrot,,exercise,simultaneous,,,simple,,whirl,check,bogus,,unintentional,,deliberately,monotonous,,,overcome,debris,,flaw,,,face,abolish,well-known,plague,,,,identify,brief,original,inaugurate,,save,fatal,,,,delve into,affirmed,encourage
make,recongnize,reliance upon,leave,,,,cooperate,,,distinguish,,equip with,keep in line with,paradoxical,transition,not moved,reinforce,,,,completed,,replace,pressing,expand,,plummet,attenuate,,,ailment,succumb,undermine,leave out,few,,uncanny,neglect,impossible,predict,misleading,,,facsimile,,,,,,basic,,,examine,unreal,,fluctuated,,intentionally,blank,,,win,,,,,,adapt to,neutralize,widely known,constagious,,,,pick up,abbreviated,novel,trigger,,,toxic,,,,explore,,
found,detect,rest on,,,,,co-work,,,discrepancy,,by means of,echo,paradox,modify,set,fortify,,,,integrity,,alternate,necessary,soar,,dive,die off/out,,,disorder,suppress,erode,omit,poor,,mysterious,,pointless,judge,overlapped,,,,,,,,,undeveloped,,,look at,pseudoscientific,,by chance,,considered,hackneyed,,,figure out,,,,,,,optout,receive recognition,rampant,,,,pinpoint,bridge,,,,,threatening,,,,devote,,
